EBU_ID;ownICO;function;name;votedICO;rank
9e7c0576-137d-45e8-a4f8-10d16d40bf49;PT;juror3;Mrs. Lia Isabel Pereira;SE;11
9e7c0576-161e-4959-9963-3d59611725fa;PT;juror4;Mr. Luis Oliveira Nunes;SE;6
9e7c0576-1762-4d39-b9d6-a63f0f8acb11;PT;juror5;Mrs. NAdia Lima Pereira;SE;1
9e7c0576-1a28-4938-a501-a2c56d0b05a1;SM;juror1;Mr. Fabrizio Raggi;SE;13
9e7c0576-1aca-4417-89cc-e6defb1448c1;SM;juror2;Mrs. Olivia Marani;SE;10
9e7c0576-1b72-486d-9c80-21d576ca947a;SM;juror3;Mrs. Sofia Toccaceli;SE;8
9e7c0576-1c12-4c15-8d11-686bf7e9b104;SM;juror4;Mr. Alessandro Riccardi;SE;14
9e7c0576-1cb9-45eb-98fb-919ed01863a5;SM;juror5;Mr. Piermatteo Carattoni;SE;14
9e7c0575-f815-41f4-a7ba-ad5eeb3ba06b;NL;juror1;Mr. Frits Ritmeester;SE;4
9e7c0575-fa13-4c23-9e91-8c94ef3176dd;NL;juror2;Mrs. Quinty Mesiedjan;SE;2
9e7c0575-f8ca-4baf-a7c6-d3de00dc6c7c;NL;juror3;Mr. Dennis van Leeuwen;SE;2
9e7c0575-f96d-46f7-9b48-c0092e163ac9;NL;juror4;Mr. Ronald de Bas;SE;1
9e7c0575-fabe-4274-b5fd-bf5f776eda4f;NL;juror5;Mrs. Gaia Tiana Marlene Aikman;SE;1
9e7c0576-0fc6-4a50-ba8f-a1486572941f;PL;juror1;Mr. Krystian Ochman;SE;9
9e7c0576-0f1f-4fc0-8f5b-902167f9d477;PL;juror2;Ms. Tycjana Acquasanta;SE;6
9e7c0576-0d16-4ff3-bc12-eac45d1341de;PL;juror3;Mrs. Katarzyna Walczak;SE;10
9e7c0576-0c69-4624-948a-29e299b7d87e;PL;juror4;Mrs. Anna Jurksztowicz;SE;7
9e7c0576-0dc6-4179-9024-3386b489a876;PL;juror5;Mr. Jan Stokosa;SE;5
9e7c0576-42b8-42b1-9187-b0933c023103;UA;juror1;Mr. Dmytro Shurov;SE;4
9e7c0576-4613-436b-84d6-661906eed597;UA;juror2;Mrs. Olena Shoptenko-Ivanova;SE;4
9e7c0576-4566-4ca5-ae57-92bc7d179d8b;UA;juror3;Mrs. Kateryna Pavlenko;SE;2
9e7c0576-4369-4830-8948-22d51da12cb3;UA;juror4;Mr. KOSTIANTYN BOCHAROV;SE;8
9e7c0576-46b1-4438-b326-0c3f30cc4c9c;UA;juror5;Mrs. Tetiana Reshetniak;SE;11
9e7c0575-570f-40ce-81c6-6b1423db9eac;AL;juror5;Mrs. Mikaela Minga;SE;3
9e7c0575-53e0-4672-8049-fc3a897b4413;AL;juror3;Mr. Alfred Kacinari;SE;4
9e7c0575-548c-4cff-a071-056cd8c5d341;AL;juror2;Mr. Shpetim Saraci;SE;4
9e7c0575-552a-4e3a-bb15-4590a26e956c;AL;juror1;Mrs. Blerta Ristani;SE;5
9e7c0575-5325-487e-9c41-f0892b1c01e6;AL;juror4;Mr. Ylljet Alicka;SE;4
9e7c0575-7d41-46d1-9b79-ed9443932c62;HR;juror1;Mr. Niksa Bratos;SE;12
9e7c0575-7f5d-4953-9dd9-0e42dd6670f7;HR;juror2;Mr. Miroslav Lesi;SE;7
9e7c0575-7ea0-4895-b9eb-a3b2b8601131;HR;juror3;Mrs. Monika Lelas Halambek;SE;1
9e7c0575-7df6-420c-be71-ab67f059cac9;HR;juror4;Mrs. Antonela Doko;SE;9
9e7c0575-800b-4237-9ed9-c880d770d545;HR;juror5;Mrs. Mia Elizabeta Negoveti;SE;2
9e7c0575-6fea-43be-92e2-1b6a8b8a3788;AZ;juror1;Mrs. Ulviyya Ogtay Kerimova;SE;13
9e7c0575-72b1-4ed2-8374-338afb1439af;AZ;juror2;Mr. Tural Isa Bagmanov;SE;6
9e7c0575-6f3d-4fe1-a5fe-04524659611b;AZ;juror3;Mr. Azer Rauf Aydemir;SE;14
9e7c0575-70a4-4bf8-b19b-f871d193bba2;AZ;juror4;Mr. Ramil Adigozal Gasimov;SE;9
9e7c0575-714e-4776-97b6-6788a0635c21;AZ;juror5;Mrs. Ulviyya Firudin Babirli;SE;11
9e7c0575-c432-45dd-b25e-bf5d5ab1975b;IS;juror1;Mrs. Hulda Geirsdottir;PT;8
9e7c0575-c391-43c4-bcdd-91344e7e0aee;IS;juror2;Mr. Sindri Astmarsson;PT;7
9e7c0575-c246-4245-8257-2ab5093eee79;IS;juror3;Mrs. Anita Ros _orsteinsdottir;PT;6
9e7c0575-c4dd-435f-8414-24cbf63ca665;IS;juror4;Mr. Bjarni Arason;PT;6
9e7c0575-c2e6-4aa9-8bad-065872a1e071;IS;juror5;Mr. Andri _or Jonsson;PT;12
9e7c0575-d6e7-40dc-82fd-9a132598d9e2;IT;juror1;Mr. DIEGO CALVETTI;PT;7
9e7c0575-d63e-4f61-89f1-42f9c12f0dca;IT;juror2;Mrs. MANOLA MOSLEHI;PT;8
9e7c0575-d795-499d-bbd4-15fc0f6d3d3d;IT;juror3;Mr. MATTIA MARZI;PT;5
9e7c0575-d90d-419a-8cd7-c5e1aa439cb8;IT;juror4;Mrs. GIULIA AUSANI;PT;14
9e7c0575-d855-44df-bac8-19bbe7b8bd41;IT;juror5;Mr. SALVATORE CARUSOTTO;PT;2
9e7c0576-34f3-4a58-8ce9-44d707ffadef;SE;juror1;Mr. Michael Lennart Cederberg;PT;14
9e7c0576-35a1-45db-ab88-eceff22801dc;SE;juror2;Mrs. Anna Charlotta Gunnarson;PT;8
9e7c0576-3649-4cdb-8f38-9879683c05d8;SE;juror3;Mrs. Amanda Josefina Elisabeth Nordelius;PT;13
9e7c0576-3795-4148-bec1-dedc2c7b2571;SE;juror4;Mr. Kenny Krister Kevin Lantz;PT;13
9e7c0576-36eb-480a-b059-e86a2f76ed24;SE;juror5;Mr. Theodor Jan Haraldsson;PT;4
9e7c0575-fede-4d9e-85fc-82f4fd9e0c34;NO;juror1;Mr. Stian Tangerud;PT;5
9e7c0576-0027-4fcf-807e-363f1659c48e;NO;juror2;Mrs. Reidun Sather;PT;2
9e7c0576-019a-459d-a0ac-fd5154a1bc5a;NO;juror3;Mr. Kristian Kristensen;PT;8
9e7c0576-00df-442f-b2ae-93b7b60abefc;NO;juror4;Ms. Vanessa Joana Hutel Kure;PT;8
9e7c0575-ff89-421b-a1e0-0f70c22892fb;NO;juror5;Mrs. Iris Severin O. Mikalsen;PT;8
9e7c0576-3e72-4af3-b431-b92bf207627c;CH;juror1;Mr. Cyrill Camenzind;PT;7
9e7c0576-3ba9-464f-8b6e-be2d4964dcea;CH;juror2;Mrs. Tiffany Athena Limacher;PT;1
9e7c0576-3c63-414f-b115-e86cdf2a15c5;CH;juror3;Mr. Giordano Tatum Rush;PT;2
9e7c0576-3d0a-4fbb-9048-294699aeb1d4;CH;juror4;Mrs. Gabriela Mennel;PT;5
9e7c0576-3dbc-41a2-9a18-e6107e1e88a8;CH;juror5;Mrs. Mary Clapasson;PT;11
9e7c0575-765a-414d-8070-fcbf903bf9a4;BE;juror1;Mr. Xavier Taveirne;PT;9
9e7c0575-791f-410f-b735-162feb679931;BE;juror2;Mr. Indy Van Cauwenberg;PT;11
9e7c0575-786a-42f6-bb0b-8f7e1fe9afdd;BE;juror3;Mrs. Noemie Wolfs;PT;8
9e7c0575-79c7-44c3-9bc6-874f595fa260;BE;juror4;Mrs. Billie Leyers;PT;4
9e7c0575-77b1-4440-99bb-79c5cbef6660;BE;juror5;Mr. Hans Francken;PT;11
9e7c0575-997e-4901-9437-2d523824ba3e;EE;juror1;Mr. Indrek Sarrap;PT;5
9e7c0576-2f74-470b-87b5-112782ab4056;ES;juror1;Mrs. Ana Isabel Conde;PT;11
9e7c0576-3018-45b3-a8e6-6a3e849d1cba;ES;juror2;Mrs. Maria Melodia Perez Castillo;PT;11
9e7c0576-2e1c-4328-acf4-3c8751b3ffb0;ES;juror3;Mr. Javier Pageo NicoAs;PT;11
9e7c0576-30b9-43fd-832e-3dd447b511fa;ES;juror4;Mrs. Irene Garrido Minano;PT;2
9e7c0576-2ec7-4fe2-a2d4-82739d9b0016;ES;juror5;Mr. Javier Llano Abril;PT;12
9e7c0576-2973-4d1d-bfaf-c6b5b6388964;SI;juror1;Mr. Gregor Starsbergar;PT;7
9e7c0576-2827-4002-9e57-03d49062212e;SI;juror2;Mrs. Ana Sokli;PT;1
9e7c0575-8445-4762-acb3-e9c7ed101e88;CY;juror1;Mrs. Maria Hari;PT;4
9e7c0576-28cf-4f3a-af2f-4db6490fd3f1;SI;juror3;Mr. Jon Vitezi;PT;3
9e7c0576-2a0f-45d9-9c9f-01d2aee39208;SI;juror4;Mr. Urban Koritnik;PT;10
9e7c0576-277c-4cdf-8555-64d8ddbaf223;SI;juror5;Mrs. Eva Boto;PT;11
9e7c0575-85a6-4f10-b0a5-669d67353f50;CY;juror2;Mr. Michael Messios;PT;7
9e7c0575-864c-415b-aaf3-3c41228c1eb4;CY;juror3;Mrs. Chariklia Strouthou;PT;3
9e7c0575-84fa-4409-818a-706de703476a;CY;juror4;Mr. Charis Savva;PT;13
9e7c0575-8705-4386-92d8-eb8f1154b15e;CY;juror5;Mrs. Helena Olympiou;PT;4
9e7c0575-9a36-48a8-8be1-b1d613bb426c;EE;juror2;Mrs. Alika Milova;PT;2
9e7c0575-9ae0-4752-a007-26dd5208389c;EE;juror3;Mr. Ott Lepland;PT;11
9e7c0575-9b93-45ca-a954-16adf28ba87e;EE;juror4;Mr. Owe Petersell;PT;3
9e7c0575-9c3e-4301-a0cc-0c6f874f9c46;EE;juror5;Mrs. Elina Nechayeva;PT;2
9e7c0576-1424-496b-9d27-c7130a9f06e1;PT;juror1;Mr. Alexandre Manuel Valerio Mesquita Guimaraes;PT;0
9e7c0576-1576-4f86-9223-84acf83449f7;PT;juror2;Mr. Alberto HernAndez Seruca;PT;0
9e7c0576-137d-45e8-a4f8-10d16d40bf49;PT;juror3;Mrs. Lia Isabel Pereira;PT;0
9e7c0576-161e-4959-9963-3d59611725fa;PT;juror4;Mr. Luis Oliveira Nunes;PT;0
9e7c0576-1762-4d39-b9d6-a63f0f8acb11;PT;juror5;Mrs. NAdia Lima Pereira;PT;0
9e7c0576-1a28-4938-a501-a2c56d0b05a1;SM;juror1;Mr. Fabrizio Raggi;PT;4
9e7c0576-1aca-4417-89cc-e6defb1448c1;SM;juror2;Mrs. Olivia Marani;PT;6
9e7c0576-1b72-486d-9c80-21d576ca947a;SM;juror3;Mrs. Sofia Toccaceli;PT;5
9e7c0576-1c12-4c15-8d11-686bf7e9b104;SM;juror4;Mr. Alessandro Riccardi;PT;6
9e7c0576-1cb9-45eb-98fb-919ed01863a5;SM;juror5;Mr. Piermatteo Carattoni;PT;10
9e7c0575-f815-41f4-a7ba-ad5eeb3ba06b;NL;juror1;Mr. Frits Ritmeester;PT;1
9e7c0575-fa13-4c23-9e91-8c94ef3176dd;NL;juror2;Mrs. Quinty Mesiedjan;PT;1
9e7c0575-f8ca-4baf-a7c6-d3de00dc6c7c;NL;juror3;Mr. Dennis van Leeuwen;PT;1
9e7c0575-f96d-46f7-9b48-c0092e163ac9;NL;juror4;Mr. Ronald de Bas;PT;6
9e7c0575-fabe-4274-b5fd-bf5f776eda4f;NL;juror5;Mrs. Gaia Tiana Marlene Aikman;PT;8
9e7c0576-0fc6-4a50-ba8f-a1486572941f;PL;juror1;Mr. Krystian Ochman;PT;2
9e7c0576-0f1f-4fc0-8f5b-902167f9d477;PL;juror2;Ms. Tycjana Acquasanta;PT;9
9e7c0576-0d16-4ff3-bc12-eac45d1341de;PL;juror3;Mrs. Katarzyna Walczak;PT;5
9e7c0576-0c69-4624-948a-29e299b7d87e;PL;juror4;Mrs. Anna Jurksztowicz;PT;2
9e7c0576-0dc6-4179-9024-3386b489a876;PL;juror5;Mr. Jan Stokosa;PT;8
9e7c0576-42b8-42b1-9187-b0933c023103;UA;juror1;Mr. Dmytro Shurov;PT;1
9e7c0576-4613-436b-84d6-661906eed597;UA;juror2;Mrs. Olena Shoptenko-Ivanova;PT;2
9e7c0576-4566-4ca5-ae57-92bc7d179d8b;UA;juror3;Mrs. Kateryna Pavlenko;PT;3
9e7c0576-4369-4830-8948-22d51da12cb3;UA;juror4;Mr. KOSTIANTYN BOCHAROV;PT;3
9e7c0576-46b1-4438-b326-0c3f30cc4c9c;UA;juror5;Mrs. Tetiana Reshetniak;PT;1
9e7c0575-570f-40ce-81c6-6b1423db9eac;AL;juror5;Mrs. Mikaela Minga;PT;2
9e7c0575-53e0-4672-8049-fc3a897b4413;AL;juror3;Mr. Alfred Kacinari;PT;11
9e7c0575-548c-4cff-a071-056cd8c5d341;AL;juror2;Mr. Shpetim Saraci;PT;7
9e7c0575-552a-4e3a-bb15-4590a26e956c;AL;juror1;Mrs. Blerta Ristani;PT;9
9e7c0575-5325-487e-9c41-f0892b1c01e6;AL;juror4;Mr. Ylljet Alicka;PT;5
9e7c0575-7d41-46d1-9b79-ed9443932c62;HR;juror1;Mr. Niksa Bratos;PT;9
9e7c0575-7f5d-4953-9dd9-0e42dd6670f7;HR;juror2;Mr. Miroslav Lesi;PT;3
9e7c0575-7ea0-4895-b9eb-a3b2b8601131;HR;juror3;Mrs. Monika Lelas Halambek;PT;4
9e7c0575-7df6-420c-be71-ab67f059cac9;HR;juror4;Mrs. Antonela Doko;PT;1
9e7c0575-800b-4237-9ed9-c880d770d545;HR;juror5;Mrs. Mia Elizabeta Negoveti;PT;4
9e7c0575-6fea-43be-92e2-1b6a8b8a3788;AZ;juror1;Mrs. Ulviyya Ogtay Kerimova;PT;3
9e7c0575-72b1-4ed2-8374-338afb1439af;AZ;juror2;Mr. Tural Isa Bagmanov;PT;1
9e7c0575-6f3d-4fe1-a5fe-04524659611b;AZ;juror3;Mr. Azer Rauf Aydemir;PT;3
9e7c0575-70a4-4bf8-b19b-f871d193bba2;AZ;juror4;Mr. Ramil Adigozal Gasimov;PT;11
9e7c0575-714e-4776-97b6-6788a0635c21;AZ;juror5;Mrs. Ulviyya Firudin Babirli;PT;10
9e7c0575-c432-45dd-b25e-bf5d5ab1975b;IS;juror1;Mrs. Hulda Geirsdottir;NO;3
9e7c0575-c391-43c4-bcdd-91344e7e0aee;IS;juror2;Mr. Sindri Astmarsson;NO;8
9e7c0575-c246-4245-8257-2ab5093eee79;IS;juror3;Mrs. Anita Ros _orsteinsdottir;NO;2
9e7c0575-c4dd-435f-8414-24cbf63ca665;IS;juror4;Mr. Bjarni Arason;NO;5
9e7c0575-c2e6-4aa9-8bad-065872a1e071;IS;juror5;Mr. Andri _or Jonsson;NO;3
9e7c0575-d6e7-40dc-82fd-9a132598d9e2;IT;juror1;Mr. DIEGO CALVETTI;NO;8
9e7c0575-d63e-4f61-89f1-42f9c12f0dca;IT;juror2;Mrs. MANOLA MOSLEHI;NO;10
9e7c0575-d795-499d-bbd4-15fc0f6d3d3d;IT;juror3;Mr. MATTIA MARZI;NO;7
9e7c0575-d90d-419a-8cd7-c5e1aa439cb8;IT;juror4;Mrs. GIULIA AUSANI;NO;8
9e7c0575-d855-44df-bac8-19bbe7b8bd41;IT;juror5;Mr. SALVATORE CARUSOTTO;NO;3
9e7c0576-34f3-4a58-8ce9-44d707ffadef;SE;juror1;Mr. Michael Lennart Cederberg;NO;4
9e7c0576-35a1-45db-ab88-eceff22801dc;SE;juror2;Mrs. Anna Charlotta Gunnarson;NO;9
9e7c0576-3649-4cdb-8f38-9879683c05d8;SE;juror3;Mrs. Amanda Josefina Elisabeth Nordelius;NO;2
9e7c0576-3795-4148-bec1-dedc2c7b2571;SE;juror4;Mr. Kenny Krister Kevin Lantz;NO;2
9e7c0576-36eb-480a-b059-e86a2f76ed24;SE;juror5;Mr. Theodor Jan Haraldsson;NO;1
9e7c0575-fede-4d9e-85fc-82f4fd9e0c34;NO;juror1;Mr. Stian Tangerud;NO;0
9e7c0576-0027-4fcf-807e-363f1659c48e;NO;juror2;Mrs. Reidun Sather;NO;0
9e7c0576-019a-459d-a0ac-fd5154a1bc5a;NO;juror3;Mr. Kristian Kristensen;NO;0
9e7c0576-00df-442f-b2ae-93b7b60abefc;NO;juror4;Ms. Vanessa Joana Hutel Kure;NO;0
9e7c0575-ff89-421b-a1e0-0f70c22892fb;NO;juror5;Mrs. Iris Severin O. Mikalsen;NO;0
9e7c0576-3e72-4af3-b431-b92bf207627c;CH;juror1;Mr. Cyrill Camenzind;NO;4
9e7c0576-3ba9-464f-8b6e-be2d4964dcea;CH;juror2;Mrs. Tiffany Athena Limacher;NO;8
9e7c0576-3c63-414f-b115-e86cdf2a15c5;CH;juror3;Mr. Giordano Tatum Rush;NO;9
9e7c0576-3d0a-4fbb-9048-294699aeb1d4;CH;juror4;Mrs. Gabriela Mennel;NO;1
9e7c0576-3dbc-41a2-9a18-e6107e1e88a8;CH;juror5;Mrs. Mary Clapasson;NO;6
9e7c0575-765a-414d-8070-fcbf903bf9a4;BE;juror1;Mr. Xavier Taveirne;NO;12
9e7c0575-791f-410f-b735-162feb679931;BE;juror2;Mr. Indy Van Cauwenberg;NO;10
9e7c0575-786a-42f6-bb0b-8f7e1fe9afdd;BE;juror3;Mrs. Noemie Wolfs;NO;10
9e7c0575-79c7-44c3-9bc6-874f595fa260;BE;juror4;Mrs. Billie Leyers;NO;10
9e7c0575-77b1-4440-99bb-79c5cbef6660;BE;juror5;Mr. Hans Francken;NO;10
9e7c0575-997e-4901-9437-2d523824ba3e;EE;juror1;Mr. Indrek Sarrap;NO;6
9e7c0576-2f74-470b-87b5-112782ab4056;ES;juror1;Mrs. Ana Isabel Conde;NO;5
9e7c0576-3018-45b3-a8e6-6a3e849d1cba;ES;juror2;Mrs. Maria Melodia Perez Castillo;NO;9
9e7c0576-2e1c-4328-acf4-3c8751b3ffb0;ES;juror3;Mr. Javier Pageo NicoAs;NO;7
9e7c0576-30b9-43fd-832e-3dd447b511fa;ES;juror4;Mrs. Irene Garrido Minano;NO;7
9e7c0576-2ec7-4fe2-a2d4-82739d9b0016;ES;juror5;Mr. Javier Llano Abril;NO;11
9e7c0576-2973-4d1d-bfaf-c6b5b6388964;SI;juror1;Mr. Gregor Starsbergar;NO;3
9e7c0576-2827-4002-9e57-03d49062212e;SI;juror2;Mrs. Ana Sokli;NO;5
9e7c0575-8445-4762-acb3-e9c7ed101e88;CY;juror1;Mrs. Maria Hari;NO;10
9e7c0576-28cf-4f3a-af2f-4db6490fd3f1;SI;juror3;Mr. Jon Vitezi;NO;7
9e7c0576-2a0f-45d9-9c9f-01d2aee39208;SI;juror4;Mr. Urban Koritnik;NO;5
9e7c0576-277c-4cdf-8555-64d8ddbaf223;SI;juror5;Mrs. Eva Boto;NO;7
9e7c0575-85a6-4f10-b0a5-669d67353f50;CY;juror2;Mr. Michael Messios;NO;3
9e7c0575-864c-415b-aaf3-3c41228c1eb4;CY;juror3;Mrs. Chariklia Strouthou;NO;5
9e7c0575-84fa-4409-818a-706de703476a;CY;juror4;Mr. Charis Savva;NO;5
9e7c0575-8705-4386-92d8-eb8f1154b15e;CY;juror5;Mrs. Helena Olympiou;NO;9
9e7c0575-9a36-48a8-8be1-b1d613bb426c;EE;juror2;Mrs. Alika Milova;NO;4
9e7c0575-9ae0-4752-a007-26dd5208389c;EE;juror3;Mr. Ott Lepland;NO;8
9e7c0575-9b93-45ca-a954-16adf28ba87e;EE;juror4;Mr. Owe Petersell;NO;12
9e7c0575-9c3e-4301-a0cc-0c6f874f9c46;EE;juror5;Mrs. Elina Nechayeva;NO;12
9e7c0576-1424-496b-9d27-c7130a9f06e1;PT;juror1;Mr. Alexandre Manuel Valerio Mesquita Guimaraes;NO;8
9e7c0576-1576-4f86-9223-84acf83449f7;PT;juror2;Mr. Alberto HernAndez Seruca;NO;10
9e7c0576-137d-45e8-a4f8-10d16d40bf49;PT;juror3;Mrs. Lia Isabel Pereira;NO;9
9e7c0576-161e-4959-9963-3d59611725fa;PT;juror4;Mr. Luis Oliveira Nunes;NO;11
9e7c0576-1762-4d39-b9d6-a63f0f8acb11;PT;juror5;Mrs. NAdia Lima Pereira;NO;7
9e7c0576-1a28-4938-a501-a2c56d0b05a1;SM;juror1;Mr. Fabrizio Raggi;NO;14
9e7c0576-1aca-4417-89cc-e6defb1448c1;SM;juror2;Mrs. Olivia Marani;NO;12
9e7c0576-1b72-486d-9c80-21d576ca947a;SM;juror3;Mrs. Sofia Toccaceli;NO;12
9e7c0576-1c12-4c15-8d11-686bf7e9b104;SM;juror4;Mr. Alessandro Riccardi;NO;8
9e7c0576-1cb9-45eb-98fb-919ed01863a5;SM;juror5;Mr. Piermatteo Carattoni;NO;8
9e7c0575-f815-41f4-a7ba-ad5eeb3ba06b;NL;juror1;Mr. Frits Ritmeester;NO;8
9e7c0575-fa13-4c23-9e91-8c94ef3176dd;NL;juror2;Mrs. Quinty Mesiedjan;NO;14
9e7c0575-f8ca-4baf-a7c6-d3de00dc6c7c;NL;juror3;Mr. Dennis van Leeuwen;NO;11
9e7c0575-f96d-46f7-9b48-c0092e163ac9;NL;juror4;Mr. Ronald de Bas;NO;2
9e7c0575-fabe-4274-b5fd-bf5f776eda4f;NL;juror5;Mrs. Gaia Tiana Marlene Aikman;NO;5
9e7c0576-0fc6-4a50-ba8f-a1486572941f;PL;juror1;Mr. Krystian Ochman;NO;5
9e7c0576-0f1f-4fc0-8f5b-902167f9d477;PL;juror2;Ms. Tycjana Acquasanta;NO;3
9e7c0576-0d16-4ff3-bc12-eac45d1341de;PL;juror3;Mrs. Katarzyna Walczak;NO;4
9e7c0576-0c69-4624-948a-29e299b7d87e;PL;juror4;Mrs. Anna Jurksztowicz;NO;14
9e7c0576-0dc6-4179-9024-3386b489a876;PL;juror5;Mr. Jan Stokosa;NO;9
9e7c0576-42b8-42b1-9187-b0933c023103;UA;juror1;Mr. Dmytro Shurov;NO;6
9e7c0576-4613-436b-84d6-661906eed597;UA;juror2;Mrs. Olena Shoptenko-Ivanova;NO;10
9e7c0576-4566-4ca5-ae57-92bc7d179d8b;UA;juror3;Mrs. Kateryna Pavlenko;NO;6
9e7c0576-4369-4830-8948-22d51da12cb3;UA;juror4;Mr. KOSTIANTYN BOCHAROV;NO;10
9e7c0576-46b1-4438-b326-0c3f30cc4c9c;UA;juror5;Mrs. Tetiana Reshetniak;NO;6
9e7c0575-570f-40ce-81c6-6b1423db9eac;AL;juror5;Mrs. Mikaela Minga;NO;8
9e7c0575-53e0-4672-8049-fc3a897b4413;AL;juror3;Mr. Alfred Kacinari;NO;9
9e7c0575-548c-4cff-a071-056cd8c5d341;AL;juror2;Mr. Shpetim Saraci;NO;12
9e7c0575-552a-4e3a-bb15-4590a26e956c;AL;juror1;Mrs. Blerta Ristani;NO;8
9e7c0575-5325-487e-9c41-f0892b1c01e6;AL;juror4;Mr. Ylljet Alicka;NO;9
9e7c0575-7d41-46d1-9b79-ed9443932c62;HR;juror1;Mr. Niksa Bratos;NO;1
9e7c0575-7f5d-4953-9dd9-0e42dd6670f7;HR;juror2;Mr. Miroslav Lesi;NO;9
9e7c0575-7ea0-4895-b9eb-a3b2b8601131;HR;juror3;Mrs. Monika Lelas Halambek;NO;8
9e7c0575-7df6-420c-be71-ab67f059cac9;HR;juror4;Mrs. Antonela Doko;NO;6
9e7c0575-800b-4237-9ed9-c880d770d545;HR;juror5;Mrs. Mia Elizabeta Negoveti;NO;8
9e7c0575-6fea-43be-92e2-1b6a8b8a3788;AZ;juror1;Mrs. Ulviyya Ogtay Kerimova;NO;8
9e7c0575-72b1-4ed2-8374-338afb1439af;AZ;juror2;Mr. Tural Isa Bagmanov;NO;9
9e7c0575-6f3d-4fe1-a5fe-04524659611b;AZ;juror3;Mr. Azer Rauf Aydemir;NO;4
9e7c0575-70a4-4bf8-b19b-f871d193bba2;AZ;juror4;Mr. Ramil Adigozal Gasimov;NO;7
9e7c0575-714e-4776-97b6-6788a0635c21;AZ;juror5;Mrs. Ulviyya Firudin Babirli;NO;4
9e7c0575-c432-45dd-b25e-bf5d5ab1975b;IS;juror1;Mrs. Hulda Geirsdottir;BE;5
9e7c0575-c391-43c4-bcdd-91344e7e0aee;IS;juror2;Mr. Sindri Astmarsson;BE;3
9e7c0575-c246-4245-8257-2ab5093eee79;IS;juror3;Mrs. Anita Ros _orsteinsdottir;BE;10
9e7c0575-c4dd-435f-8414-24cbf63ca665;IS;juror4;Mr. Bjarni Arason;BE;9
9e7c0575-c2e6-4aa9-8bad-065872a1e071;IS;juror5;Mr. Andri _or Jonsson;BE;5
9e7c0575-d6e7-40dc-82fd-9a132598d9e2;IT;juror1;Mr. DIEGO CALVETTI;BE;10
9e7c0575-d63e-4f61-89f1-42f9c12f0dca;IT;juror2;Mrs. MANOLA MOSLEHI;BE;7
9e7c0575-d795-499d-bbd4-15fc0f6d3d3d;IT;juror3;Mr. MATTIA MARZI;BE;9
9e7c0575-d90d-419a-8cd7-c5e1aa439cb8;IT;juror4;Mrs. GIULIA AUSANI;BE;11
9e7c0575-d855-44df-bac8-19bbe7b8bd41;IT;juror5;Mr. SALVATORE CARUSOTTO;BE;11
9e7c0576-34f3-4a58-8ce9-44d707ffadef;SE;juror1;Mr. Michael Lennart Cederberg;BE;8
9e7c0576-35a1-45db-ab88-eceff22801dc;SE;juror2;Mrs. Anna Charlotta Gunnarson;BE;10
9e7c0576-3649-4cdb-8f38-9879683c05d8;SE;juror3;Mrs. Amanda Josefina Elisabeth Nordelius;BE;5
9e7c0576-3795-4148-bec1-dedc2c7b2571;SE;juror4;Mr. Kenny Krister Kevin Lantz;BE;7
9e7c0576-36eb-480a-b059-e86a2f76ed24;SE;juror5;Mr. Theodor Jan Haraldsson;BE;8
9e7c0575-fede-4d9e-85fc-82f4fd9e0c34;NO;juror1;Mr. Stian Tangerud;BE;14
9e7c0576-0027-4fcf-807e-363f1659c48e;NO;juror2;Mrs. Reidun Sather;BE;9
9e7c0576-019a-459d-a0ac-fd5154a1bc5a;NO;juror3;Mr. Kristian Kristensen;BE;6
9e7c0576-00df-442f-b2ae-93b7b60abefc;NO;juror4;Ms. Vanessa Joana Hutel Kure;BE;13
9e7c0575-ff89-421b-a1e0-0f70c22892fb;NO;juror5;Mrs. Iris Severin O. Mikalsen;BE;12
9e7c0576-3e72-4af3-b431-b92bf207627c;CH;juror1;Mr. Cyrill Camenzind;BE;3
9e7c0576-3ba9-464f-8b6e-be2d4964dcea;CH;juror2;Mrs. Tiffany Athena Limacher;BE;6
9e7c0576-3c63-414f-b115-e86cdf2a15c5;CH;juror3;Mr. Giordano Tatum Rush;BE;8
9e7c0576-3d0a-4fbb-9048-294699aeb1d4;CH;juror4;Mrs. Gabriela Mennel;BE;7
9e7c0576-3dbc-41a2-9a18-e6107e1e88a8;CH;juror5;Mrs. Mary Clapasson;BE;15
9e7c0575-765a-414d-8070-fcbf903bf9a4;BE;juror1;Mr. Xavier Taveirne;BE;0
9e7c0575-791f-410f-b735-162feb679931;BE;juror2;Mr. Indy Van Cauwenberg;BE;0
9e7c0575-786a-42f6-bb0b-8f7e1fe9afdd;BE;juror3;Mrs. Noemie Wolfs;BE;0
9e7c0575-79c7-44c3-9bc6-874f595fa260;BE;juror4;Mrs. Billie Leyers;BE;0
9e7c0575-77b1-4440-99bb-79c5cbef6660;BE;juror5;Mr. Hans Francken;BE;0
9e7c0575-997e-4901-9437-2d523824ba3e;EE;juror1;Mr. Indrek Sarrap;BE;7
9e7c0576-2f74-470b-87b5-112782ab4056;ES;juror1;Mrs. Ana Isabel Conde;BE;9
9e7c0576-3018-45b3-a8e6-6a3e849d1cba;ES;juror2;Mrs. Maria Melodia Perez Castillo;BE;10
